article_sku;category_name;foreign_key_sql
;;
871530694;Mens Slim Fit Jeans;(SELECT uuid FROM subcategory WHERE category_name='Mens Slim Fit Jeans')
1774083175;Mens Jeans;(SELECT uuid FROM subcategory WHERE category_name='Mens Jeans')
5702523237;Golf Shirts;(SELECT uuid FROM subcategory WHERE category_name='Golf Shirts')
3475370853;Cooling Sheets;(SELECT uuid FROM subcategory WHERE category_name='Cooling Sheets')
1792864118;Womens Leggings;(SELECT uuid FROM subcategory WHERE category_name='Womens Leggings')
6918363302;Womens Pajama Sets;(SELECT uuid FROM subcategory WHERE category_name='Womens Pajama Sets')
1807242420;Bed Sheets;(SELECT uuid FROM subcategory WHERE category_name='Bed Sheets')
5028919789;Mens Jeans;(SELECT uuid FROM subcategory WHERE category_name='Mens Jeans')
1231760315;Baby Girls Casual Dresses;(SELECT uuid FROM subcategory WHERE category_name='Baby Girls Casual Dresses')
6045904134;Dresses;(SELECT uuid FROM subcategory WHERE category_name='Dresses')
5209344136;Mens Character Shop;(SELECT uuid FROM subcategory WHERE category_name='Mens Character Shop')
1210385172;Toddler Bedding Sets & Sheets;(SELECT uuid FROM subcategory WHERE category_name='Toddler Bedding Sets & Sheets')
1950697931;Womens Tank Tops;(SELECT uuid FROM subcategory WHERE category_name='Womens Tank Tops')
602748918;Mens Movies and TV Tees;(SELECT uuid FROM subcategory WHERE category_name='Mens Movies and TV Tees')
5502936471;Girls Dress Shoes;(SELECT uuid FROM subcategory WHERE category_name='Girls Dress Shoes')
5344195287;Denim Dressing;(SELECT uuid FROM subcategory WHERE category_name='Denim Dressing')
1317644392;Plus Size Pants;(SELECT uuid FROM subcategory WHERE category_name='Plus Size Pants')
784626947;Womens Athletic Shorts;(SELECT uuid FROM subcategory WHERE category_name='Womens Athletic Shorts')
1084361448;Womens Blouses;(SELECT uuid FROM subcategory WHERE category_name='Womens Blouses')
385780287;Womens Booties;(SELECT uuid FROM subcategory WHERE category_name='Womens Booties')
2968552747;Baby Boys Casual Outfit Sets;(SELECT uuid FROM subcategory WHERE category_name='Baby Boys Casual Outfit Sets')
903463722;Mens Work Uniforms;(SELECT uuid FROM subcategory WHERE category_name='Mens Work Uniforms')
5480667546;Mens Oxfords Shoes;(SELECT uuid FROM subcategory WHERE category_name='Mens Oxfords Shoes')
1570467303;Womens White Dresses;(SELECT uuid FROM subcategory WHERE category_name='Womens White Dresses')
1491092992;Cooling Sheets;(SELECT uuid FROM subcategory WHERE category_name='Cooling Sheets')
2126911017;Mens Denim Shorts;(SELECT uuid FROM subcategory WHERE category_name='Mens Denim Shorts')
54973324;Fabric Tablecloths;(SELECT uuid FROM subcategory WHERE category_name='Fabric Tablecloths')
100662878;Mens Pajamas and Robes;(SELECT uuid FROM subcategory WHERE category_name='Mens Pajamas and Robes')
381553241;Mens Work Pants;(SELECT uuid FROM subcategory WHERE category_name='Mens Work Pants')
1699095797;Plus Size Tshirts;(SELECT uuid FROM subcategory WHERE category_name='Plus Size Tshirts')
265927683;Mens Graphic Tees;(SELECT uuid FROM subcategory WHERE category_name='Mens Graphic Tees')
3644855526;Cooling Sheets;(SELECT uuid FROM subcategory WHERE category_name='Cooling Sheets')
832929384;Football Pants;(SELECT uuid FROM subcategory WHERE category_name='Football Pants')
780851550;Plus Size Dresses;(SELECT uuid FROM subcategory WHERE category_name='Plus Size Dresses')
318615006;Plus Size Dresses;(SELECT uuid FROM subcategory WHERE category_name='Plus Size Dresses')
255946326;Mens Movies and TV Tees;(SELECT uuid FROM subcategory WHERE category_name='Mens Movies and TV Tees')
455894581;Mens Pullover Sweaters;(SELECT uuid FROM subcategory WHERE category_name='Mens Pullover Sweaters')
3204034213;Cooling Sheets;(SELECT uuid FROM subcategory WHERE category_name='Cooling Sheets')
1226940529;Stickers;(SELECT uuid FROM subcategory WHERE category_name='Stickers')
3463158651;Cooling Sheets;(SELECT uuid FROM subcategory WHERE category_name='Cooling Sheets')
2580740549;NFL Flags;(SELECT uuid FROM subcategory WHERE category_name='NFL Flags')
5658552152;Toddler Dress Shoes;(SELECT uuid FROM subcategory WHERE category_name='Toddler Dress Shoes')
273277798;Mens Slim Fit Jeans;(SELECT uuid FROM subcategory WHERE category_name='Mens Slim Fit Jeans')
54973396;Fabric Tablecloths;(SELECT uuid FROM subcategory WHERE category_name='Fabric Tablecloths')
213773091;Mens Movies and TV Tees;(SELECT uuid FROM subcategory WHERE category_name='Mens Movies and TV Tees')
3265623525;Cooling Sheets;(SELECT uuid FROM subcategory WHERE category_name='Cooling Sheets')
5255412427;Mens Character Shop;(SELECT uuid FROM subcategory WHERE category_name='Mens Character Shop')
1828984385;Boys Outfit Sets;(SELECT uuid FROM subcategory WHERE category_name='Boys Outfit Sets')
642212399;Womens One-piece Swimsuits;(SELECT uuid FROM subcategory WHERE category_name='Womens One-piece Swimsuits')
1871888846;Plus Size Dresses;(SELECT uuid FROM subcategory WHERE category_name='Plus Size Dresses')
469835808;Plus Size Dresses;(SELECT uuid FROM subcategory WHERE category_name='Plus Size Dresses')
1850447630;Girls Coats and Jackets;(SELECT uuid FROM subcategory WHERE category_name='Girls Coats and Jackets')
1195507675;Mens Movies and TV Tees;(SELECT uuid FROM subcategory WHERE category_name='Mens Movies and TV Tees')
5602300945;Cars & SUV Toys;(SELECT uuid FROM subcategory WHERE category_name='Cars & SUV Toys')
45087015;All Area Rugs;(SELECT uuid FROM subcategory WHERE category_name='All Area Rugs')
5442868412;Womens Swimsuit Bottoms;(SELECT uuid FROM subcategory WHERE category_name='Womens Swimsuit Bottoms')
3192640084;Toddler Girls One-piece Swimsuits;(SELECT uuid FROM subcategory WHERE category_name='Toddler Girls One-piece Swimsuits')
5168635291;Mens Movies and TV Tees;(SELECT uuid FROM subcategory WHERE category_name='Mens Movies and TV Tees')
1435905497;Toddler Bedding Sets & Sheets;(SELECT uuid FROM subcategory WHERE category_name='Toddler Bedding Sets & Sheets')
2727778509;Wedge Heels;(SELECT uuid FROM subcategory WHERE category_name='Wedge Heels')
333588477;Womens Sweaters;(SELECT uuid FROM subcategory WHERE category_name='Womens Sweaters')
1421142720;Womens Slides;(SELECT uuid FROM subcategory WHERE category_name='Womens Slides')
1113666022;Toddler Bedding Sets & Sheets;(SELECT uuid FROM subcategory WHERE category_name='Toddler Bedding Sets & Sheets')
833969367;Princess Baby & Toddler Costumes;(SELECT uuid FROM subcategory WHERE category_name='Princess Baby & Toddler Costumes')
2335720771;Cooling Sheets;(SELECT uuid FROM subcategory WHERE category_name='Cooling Sheets')
5784496986;Boys Athletic Shorts and Pants;(SELECT uuid FROM subcategory WHERE category_name='Boys Athletic Shorts and Pants')
334694770;Womens Hoodies;(SELECT uuid FROM subcategory WHERE category_name='Womens Hoodies')
855837951;High Heels;(SELECT uuid FROM subcategory WHERE category_name='High Heels')
942432062;Mens Graphic Tees;(SELECT uuid FROM subcategory WHERE category_name='Mens Graphic Tees')
1796059258;Womens Dresses;(SELECT uuid FROM subcategory WHERE category_name='Womens Dresses')
842910182;Womens Workwear Blouses;(SELECT uuid FROM subcategory WHERE category_name='Womens Workwear Blouses')
5588310453;Womens Tank Tops;(SELECT uuid FROM subcategory WHERE category_name='Womens Tank Tops')
3789037962;Womens Pajama Sets;(SELECT uuid FROM subcategory WHERE category_name='Womens Pajama Sets')
446839423;Toddler Bedding Sets & Sheets;(SELECT uuid FROM subcategory WHERE category_name='Toddler Bedding Sets & Sheets')
1189249949;Plus Size Tops;(SELECT uuid FROM subcategory WHERE category_name='Plus Size Tops')
1549752693;Womens Flat Sandals;(SELECT uuid FROM subcategory WHERE category_name='Womens Flat Sandals')
5358743094;Toddler Girls Casual Dresses;(SELECT uuid FROM subcategory WHERE category_name='Toddler Girls Casual Dresses')
1699667139;Toddler Bedding Sets & Sheets;(SELECT uuid FROM subcategory WHERE category_name='Toddler Bedding Sets & Sheets')
934585361;Mini Dresses;(SELECT uuid FROM subcategory WHERE category_name='Mini Dresses')
1597346185;Mens Cardigans and Zip-up Sweaters;(SELECT uuid FROM subcategory WHERE category_name='Mens Cardigans and Zip-up Sweaters')
1993962962;Tennis Skirts;(SELECT uuid FROM subcategory WHERE category_name='Tennis Skirts')
5291664103;Womens Blouses;(SELECT uuid FROM subcategory WHERE category_name='Womens Blouses')
3795586746;Mens Workout Shirts;(SELECT uuid FROM subcategory WHERE category_name='Mens Workout Shirts')
1939989912;Plus Size Jeans;(SELECT uuid FROM subcategory WHERE category_name='Plus Size Jeans')
6838112687;Big and Tall Pajama Bottoms;(SELECT uuid FROM subcategory WHERE category_name='Big and Tall Pajama Bottoms')
702951316;Womens Activewear;(SELECT uuid FROM subcategory WHERE category_name='Womens Activewear')
1571055544;Plus Size Tshirts;(SELECT uuid FROM subcategory WHERE category_name='Plus Size Tshirts')
389782477;Frozen Sandwiches;(SELECT uuid FROM subcategory WHERE category_name='Frozen Sandwiches')
1921006587;Womens Skirts;(SELECT uuid FROM subcategory WHERE category_name='Womens Skirts')
109158823;Womens Plus Swimsuits;(SELECT uuid FROM subcategory WHERE category_name='Womens Plus Swimsuits')
3929420089;Wolverine Boots;(SELECT uuid FROM subcategory WHERE category_name='Wolverine Boots')
434475523;Bed Skirts;(SELECT uuid FROM subcategory WHERE category_name='Bed Skirts')
5498695276;Mens Casual Button Down Shirts;(SELECT uuid FROM subcategory WHERE category_name='Mens Casual Button Down Shirts')
903980841;Bed Skirts;(SELECT uuid FROM subcategory WHERE category_name='Bed Skirts')
2975640420;Womens Tops;(SELECT uuid FROM subcategory WHERE category_name='Womens Tops')
161657830;King Duvet Covers;(SELECT uuid FROM subcategory WHERE category_name='King Duvet Covers')
2097897368;Mens Cargo Pants;(SELECT uuid FROM subcategory WHERE category_name='Mens Cargo Pants')
1208578847;Mens Hiking Pants;(SELECT uuid FROM subcategory WHERE category_name='Mens Hiking Pants')
949530610;Mens T-Shirts;(SELECT uuid FROM subcategory WHERE category_name='Mens T-Shirts')
1272327282;Bathroom Rugs;(SELECT uuid FROM subcategory WHERE category_name='Bathroom Rugs')
827790002;Pillowcases;(SELECT uuid FROM subcategory WHERE category_name='Pillowcases')
696459227;Hanes Mens T-Shirts;(SELECT uuid FROM subcategory WHERE category_name='Hanes Mens T-Shirts')
2417910874;Womens Slides;(SELECT uuid FROM subcategory WHERE category_name='Womens Slides')
5263061917;Womens Plus Skirts;(SELECT uuid FROM subcategory WHERE category_name='Womens Plus Skirts')
5455085483;Tshirts for Women;(SELECT uuid FROM subcategory WHERE category_name='Tshirts for Women')
5579917144;Womens Tops;(SELECT uuid FROM subcategory WHERE category_name='Womens Tops')
5336951329;Couch Covers;(SELECT uuid FROM subcategory WHERE category_name='Couch Covers')
5005432766;Shop Curtains;(SELECT uuid FROM subcategory WHERE category_name='Shop Curtains')
627541260;Mens Slippers;(SELECT uuid FROM subcategory WHERE category_name='Mens Slippers')
5215677549;Womens Plus Swimsuits;(SELECT uuid FROM subcategory WHERE category_name='Womens Plus Swimsuits')
921370451;Fruit of the Loom Mens T-Shirts;(SELECT uuid FROM subcategory WHERE category_name='Fruit of the Loom Mens T-Shirts')
