category_name;root_category_name;foreign_key_sql
;;
Mens Slim Fit Jeans;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Mens Jeans;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Golf Shirts;Sports & Outdoors;(SELECT uuid FROM category WHERE root_category_name='Sports & Outdoors')
Cooling Sheets;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Womens Leggings;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Pajama Sets;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Bed Sheets;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Baby Girls Casual Dresses;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Dresses;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Mens Character Shop;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Toddler Bedding Sets & Sheets;Baby;(SELECT uuid FROM category WHERE root_category_name='Baby')
Womens Tank Tops;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Mens Movies and TV Tees;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Girls Dress Shoes;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Denim Dressing;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Plus Size Pants;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Athletic Shorts;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Blouses;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Booties;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Baby Boys Casual Outfit Sets;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Mens Work Uniforms;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Mens Oxfords Shoes;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens White Dresses;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Mens Denim Shorts;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Fabric Tablecloths;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Mens Pajamas and Robes;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Mens Work Pants;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Plus Size Tshirts;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Mens Graphic Tees;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Football Pants;Sports & Outdoors;(SELECT uuid FROM category WHERE root_category_name='Sports & Outdoors')
Plus Size Dresses;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Mens Pullover Sweaters;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Stickers;Arts Crafts & Sewing;(SELECT uuid FROM category WHERE root_category_name='Arts Crafts & Sewing')
NFL Flags;Patio & Garden;(SELECT uuid FROM category WHERE root_category_name='Patio & Garden')
Toddler Dress Shoes;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Boys Outfit Sets;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens One-piece Swimsuits;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Girls Coats and Jackets;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Cars & SUV Toys;Toys;(SELECT uuid FROM category WHERE root_category_name='Toys')
All Area Rugs;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Womens Swimsuit Bottoms;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Toddler Girls One-piece Swimsuits;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Wedge Heels;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Sweaters;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Slides;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Princess Baby & Toddler Costumes;Party & Occasions;(SELECT uuid FROM category WHERE root_category_name='Party & Occasions')
Boys Athletic Shorts and Pants;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Hoodies;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
High Heels;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Dresses;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Workwear Blouses;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Plus Size Tops;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Flat Sandals;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Toddler Girls Casual Dresses;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Mini Dresses;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Mens Cardigans and Zip-up Sweaters;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Tennis Skirts;Sports & Outdoors;(SELECT uuid FROM category WHERE root_category_name='Sports & Outdoors')
Mens Workout Shirts;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Plus Size Jeans;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Big and Tall Pajama Bottoms;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Activewear;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Frozen Sandwiches;Food;(SELECT uuid FROM category WHERE root_category_name='Food')
Womens Skirts;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Plus Swimsuits;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Wolverine Boots;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Bed Skirts;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Mens Casual Button Down Shirts;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Tops;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
King Duvet Covers;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Mens Cargo Pants;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Mens Hiking Pants;Sports & Outdoors;(SELECT uuid FROM category WHERE root_category_name='Sports & Outdoors')
Mens T-Shirts;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Bathroom Rugs;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Pillowcases;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Hanes Mens T-Shirts;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Plus Skirts;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Tshirts for Women;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Couch Covers;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Shop Curtains;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Mens Slippers;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Fruit of the Loom Mens T-Shirts;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Beach Towels;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Propane Gas Grills;Patio & Garden;(SELECT uuid FROM category WHERE root_category_name='Patio & Garden')
Aftershaves;Personal Care;(SELECT uuid FROM category WHERE root_category_name='Personal Care')
Ballet Flats;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
All Cat Feeders, Fountains, and Bowls;Pets;(SELECT uuid FROM category WHERE root_category_name='Pets')
Fitted Sheets;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Womens Two Piece Sets;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Jessica London;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Shoelaces;Household Essentials;(SELECT uuid FROM category WHERE root_category_name='Household Essentials')
All Baseball Gear & Equipments;Sports & Outdoors;(SELECT uuid FROM category WHERE root_category_name='Sports & Outdoors')
Shop all Snack Bars;Food;(SELECT uuid FROM category WHERE root_category_name='Food')
Cardigans for Women;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Bikinis;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Maybelline Lip Makeup;Beauty;(SELECT uuid FROM category WHERE root_category_name='Beauty')
Mens Polo Shirts;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Shop All Patio Furniture;Patio & Garden;(SELECT uuid FROM category WHERE root_category_name='Patio & Garden')
Mens Multivitamins;Health and Medicine;(SELECT uuid FROM category WHERE root_category_name='Health and Medicine')
Conditioning Hair Color;Beauty;(SELECT uuid FROM category WHERE root_category_name='Beauty')
Womens Flip Flops;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Dress Boots;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Orthopedic Dog Beds;Pets;(SELECT uuid FROM category WHERE root_category_name='Pets')
Slipcovers;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Womens Pants;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Big and Tall Graphic Tees;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Boys Athletic Shirts;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Young Adult Swimsuits;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
All Runner Rugs;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Mens Boots;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Shop Bedding;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Casual Dresses;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Look Good While Working Out;Health and Medicine;(SELECT uuid FROM category WHERE root_category_name='Health and Medicine')
Flat Sheets;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Mens Workout Clothing;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Microfiber Sheets;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Womens Nightshirts & Gowns;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Red Hair Dye;Beauty;(SELECT uuid FROM category WHERE root_category_name='Beauty')
Kids Sheets;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
High School Supplies;Seasonal;(SELECT uuid FROM category WHERE root_category_name='Seasonal')
Comforter Sets;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
All Cat Food;Pets;(SELECT uuid FROM category WHERE root_category_name='Pets')
Block Heels;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Duvet Cover Sets;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
